timestamp,id,side,price,quantity
00:34:47.062570,1,SELL,13.04,30
00:34:47.062570,2,SELL,13.04,5
00:34:47.062570,3,BUY,13.04,105
00:34:47.062570,4,BUY,13.04,76
00:34:47.062570,5,BUY,13.04,76
00:34:47.062570,6,BUY,13.04,343
00:34:47.062570,7,BUY,13.04,449
00:34:47.062570,8,BUY,13.04,29
00:34:47.062570,9,BUY,13.04,169
00:34:47.062570,10,BUY,13.04,122
00:34:47.062570,11,BUY,13.04,149
00:34:47.062570,12,BUY,13.04,182
00:34:47.062570,13,BUY,13.04,54
00:34:47.062570,14,BUY,13.04,166
00:34:47.062570,15,BUY,13.04,10
00:34:47.062570,16,BUY,13.04,32
00:34:47.062570,17,BUY,13.04,4
00:34:47.062570,18,BUY,13.04,54
00:34:47.062570,19,BUY,13.04,246
00:34:47.062570,20,BUY,13.04,250
00:34:47.062570,21,BUY,13.04,100
00:34:47.062570,22,BUY,13.04,154
00:34:47.062570,23,BUY,13.04,71
00:34:47.062570,24,BUY,13.04,254
00:34:47.062570,25,BUY,13.04,1080
00:34:47.062570,26,BUY,13.04,158
00:35:09.353570,27,BUY,13.04,242
00:35:09.353570,28,BUY,13.04,1026
00:36:17.300570,29,SELL,13.04,500
00:37:18.789570,30,BUY,13.05,100
00:37:18.789570,31,BUY,13.05,68
00:37:18.789570,32,BUY,13.05,632
00:37:18.789570,33,BUY,13.05,1368
00:37:46.940570,34,BUY,13.08,1086
00:37:47.861570,35,BUY,13.08,543
00:38:18.571570,36,BUY,13.08,371
00:38:18.571570,37,BUY,13.08,172
00:38:38.987570,38,BUY,13.08,40
00:40:08.269570,39,BUY,13.08,566
00:40:08.311570,40,BUY,13.08,222
00:40:08.311570,41,BUY,13.08,286
00:40:08.311570,42,BUY,13.08,475
00:40:24.611570,43,SELL,13.07,2200
00:40:24.611570,44,SELL,13.07,1208
00:40:42.542570,45,SELL,13.06,1087
00:40:42.542570,46,SELL,13.06,87
00:40:42.558570,47,SELL,13.06,900
00:40:42.583570,48,BUY,13.08,1177
00:40:42.599570,49,SELL,13.06,392
00:40:42.599570,50,SELL,13.06,600
00:40:42.599570,51,SELL,13.06,543
00:40:42.599570,52,SELL,13.06,23
00:40:42.599570,53,SELL,13.06,43
00:40:42.599570,54,SELL,13.06,566
00:40:42.600570,55,SELL,13.05,1000
00:40:42.600570,56,SELL,13.03,64
00:40:42.628570,57,BUY,13.08,1100
00:40:42.667570,58,BUY,13.06,727
00:40:44.753570,59,BUY,13.06,60
00:40:57.823570,60,BUY,13.06,213
00:40:57.823570,61,BUY,13.06,1101
00:40:57.823570,62,BUY,13.08,1467
00:40:57.823570,63,BUY,13.08,300
00:41:15.709570,64,BUY,13.09,69
00:41:15.709570,65,BUY,13.09,160
00:42:03.431570,66,BUY,13.09,1840
00:42:03.431570,67,BUY,13.09,2175
00:42:03.431570,68,BUY,13.09,122
00:42:03.431570,69,BUY,13.09,100
00:42:03.431570,70,BUY,13.09,763
